term	valence	conditions	conditional expressions
too late	negative	!isImmediatelyPrecededByANegation	12:10
too many	negative	!isFollowedByAPositiveOpinion	12:10
too much	negative	!isFollowedByAPositiveOpinion	12:10
too often	negative	!isFollowedByAPositiveOpinion	12:10
toothache	negative	!isImmediatelyPrecededByANegation	12:10
toxic	negative	!isImmediatelyPrecededByANegation	12:10
toxicity	negative		12
tragedy	negative	!isImmediatelyPrecededByANegation	12:10
tromped	negative	!isImmediatelyPrecededByANegation	12:10
trouble	negative	!isImmediatelyPrecededByANegation	12:10
tummyache	negative	!isImmediatelyPrecededByANegation	12:10
tumor	negative	!isImmediatelyPrecededByANegation	12:10
twat	negative		12
twats	negative		12
twerp	negative		12
ugh	negative		12
ugly	negative		12
uh oh	negative		12
unacceptable	negative	!isImmediatelyPrecededByANegation	12:10
uncaring	negative	!isImmediatelyPrecededByANegation	12:10
uncool	negative	!isImmediatelyPrecededByANegation	12:10
undermine	negative	!isImmediatelyPrecededByANegation	12:10
undermines	negative	!isImmediatelyPrecededByANegation	12:10
undermined	negative	!isImmediatelyPrecededByANegation	12:10
unfair	negative	!isImmediatelyPrecededByANegation	12:10
unforgivable	negative	!isImmediatelyPrecededByANegation	12:10
unfortunate	negative	!isImmediatelyPrecededByANegation	12:10
unfortunately	negative	!isImmediatelyPrecededByANegation	12:10
unfortunetly	negative	!isImmediatelyPrecededByANegation	12:10
ungodly	negative	!isImmediatelyPrecededByANegation	12:10
unhappy	negative	!isImmediatelyPrecededByANegation	12:10
unhealthy 	negative	!isImmediatelyPrecededByANegation	12:10
unloved	negative	!isImmediatelyPrecededByANegation	12:10
unsatisfying	negative	!isImmediatelyPrecededByANegation	12:10
unsolved	negative		12
unspeakable	negative		12
unsuccessful	negative		12
unsuccessfully	negative		12
unintelligent	negative		12
unwanted	negative		12
upset	negative	!isImmediatelyPrecededByANegation	12:10
upsetting	negative	!isImmediatelyPrecededByANegation	12:10
useless	negative	!isImmediatelyPrecededByANegation	12:10
very concerning	negative	!isImmediatelyPrecededByANegation	12
vexed	negative	!isImmediatelyPrecededByANegation	12:10
vexing	negative		12
vomit	negative		12
want to go	negative	!isPrecededBySpecificTerm///do you	12:10
waste my time	negative	!isImmediatelyPrecededByANegation	12:10
waste of my time	negative	!isImmediatelyPrecededByANegation	12:10
waste our time	negative	!isImmediatelyPrecededByANegation	12:10
wasted time	negative	!isImmediatelyPrecededByANegation	12:10
wasteland	negative		12
way too	negative	!isFollowedByAPositiveOpinion	12:10
we lost	negative		12
weakest	negative	isImmediatelyPrecededBySpecificTerm///is the|are the	12:10
weird	negative	!isImmediatelyPrecededByANegation	12:10
whats wrong	negative		12
what s wrong	negative		12
why on earth	negative		12
why the hell	negative		12
whore	negative		12
whores	negative		12
wish i	negative	isImmediatelyFollowedBySpecificTerm///had|hadn|did|didn|would|wouldn	12:10
wish	negative	isImmediatelyFollowedBySpecificTerm///he|they|she|we|people	12:10
be buying	negative		12
won t be buying	negative		12
won t buy	negative		12
wont buy	negative		12
wont let me	negative		12
work out	negative	isImmediatelyPrecededByANegation	12:10
worn out	negative	!isImmediatelyPrecededByANegation	12:10
worried	negative	!isImmediatelyPrecededByANegation	12:10
worries	negative	!isImmediatelyPrecededByANegation	12:10
worry	negative	!isImmediatelyPrecededByANegation	12:10
worrying	negative	!isImmediatelyPrecededByANegation	12:10
worse	negative	!isImmediatelyPrecededByANegation	12:10
worst	negative	!isImmediatelyPrecededByANegation	12:10
worth	negative	isImmediatelyPrecededByANegation	12:10
wrenching	negative		12
wretched	negative		12
wrong	negative	!isImmediatelyPrecededByANegation	12:10
wtf	negative		12
yeah right	negative		12
years behind	negative	!isImmediatelyPrecededByANegation	12:10
yuck	negative		12
yucky	negative	!isImmediatelyPrecededByANegation	12:10
zero support	negative		12
help us!	negative		12
please hurry	negative		12
slap in the face	negative		12
insane	negative	!isPrecededByPositive+++!isFollowedByAPositiveOpinion	if (A && B) {12} else {10}
whatsoever	negative		12
sux	negative		12
i ve had to	negative		12
ive had to	negative		12
